# IPv4 Streams
凤凰资讯,http://39.164.174.139:5000/nl.m3u8?id=FHZXHD
凤凰资讯,http://124.95.180.107:6718/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰资讯,http://118.249.192.169:8888/udp/239.76.253.134:9000
凤凰资讯,http://118.249.192.169:8888/udp/239.76.246.134:1234
凤凰资讯,http://223.105.252.59/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://124.95.180.107/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰香港,http://124.95.180.107:6718/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰香港,http://223.105.252.59/PLTV/3/224/3221228530/index.m3u8
刑事侦缉档案,http://58.39.190.143:35455/huya/23734169
刘德华,http://58.39.190.143:35455/huya/11342424
创世纪,http://58.39.190.143:35455/huya/23749083
剧集_地下交通站,http://58.39.190.143:35455/huya/11342433
剧集_士兵突击,http://58.39.190.143:35455/huya/11342430
剧集_家有儿女,http://58.39.190.143:35455/huya/11352872
剧集_庆余年,http://58.39.190.143:35455/huya/11352960
剧集_新三国,http://58.39.190.143:35455/huya/11352944
剧集_新水浒,http://58.39.190.143:35455/huya/11342384
剧集_武林外传,http://58.39.190.143:35455/huya/21059598
剧集_爱情公寓,http://58.39.190.143:35455/huya/11336726
剧集_纪晓岚,http://58.39.190.143:35455/huya/11342396
剧集_老三国,http://58.39.190.143:35455/huya/11602081
剧集_邻里一家亲,http://58.39.190.143:35455/huya/11342426
剧集_雍正王朝,http://58.39.190.143:35455/huya/11342439
动作电影,http://39.134.65.106/PLTV/88888888/224/3221225555/1.m3u8?$HLJYDIP 4M FHD
动作电影,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8?$HLJYD 2.5M FHD
动漫秀场,http://222.64.68.61:12028/udp/233.18.204.46:5140
动漫秀场,http://118.249.192.169:8888/udp/239.76.246.131:1234
动漫秀场,http://118.249.192.169:8888/udp/239.76.253.131:9000
北京4k超清,http://58.39.190.143:35455/bptv/10000100000000050000000003887500.m3u8
北京体育,http://124.205.11.205:91/live/BTVTYhd-8M/live.m3u8
北京体育休闲,http://58.39.190.143:35455/bptv/10000100000000050000000003870779.m3u8
北京剧场,http://58.39.190.143:35455/bptv/10000100000000050000000003887497.m3u8
北京动画,http://58.39.190.143:35455/bptv/10000100000000050000000003887496.m3u8
北京卫视,http://58.39.190.143:35455/bptv/10000100000000050000000003870776.m3u8
北京卫视,http://58.39.190.143:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://58.39.190.143:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京卫视,http://39.134.65.106/PLTV/88888888/224/3221225931/1.m3u8?$HLJYDIP 8M FHD
北京卫视,http://39.134.65.106/PLTV/88888888/224/3221225678/1.m3u8?$HLJYDIP 4M FHD
北京卫视,http://39.134.65.106/PLTV/88888888/224/3221225927/1.m3u8?$HLJYDIP 2M SD
北京卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8?$HLJYD 8M FHD
北京卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8?$HLJYD 4M FHD
北京卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226251/index.m3u8?$HLJYD 1.5M SD
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8
北京卫视,http://39.134.65.179/PLTV/88888888/224/3221225678/1.m3u8
北京卫视,http://39.134.65.173/PLTV/88888888/224/3221225678/1.m3u8
